格式,输出,作用范围
%v,值,打印任意值，其结果与 Print 和 Println 的输出完全相同
%+v,显示字段的字段名,结构体
%q,带引号,string 或 []byte， 整数和符文
%#q,尽可能带反引号,string 或 []byte， 整数和符文
%x,十六进制字符串,字符串、字节数组以及整数
% x,字节之间插入空格,
%T,值的类型,
