格式,Column,作用范围,输出
%+v,,结构体,显示字段的字段名
%v,,打印任意值，其结果与 Print 和 Println 的输出完全相同,值
%q,,string 或 []byte， 整数和符文,带引号
%#q,,string 或 []byte， 整数和符文,尽可能带反引号
%x,,字符串、字节数组以及整数,十六进制字符串
% x,,,字节之间插入空格
%T,,,值的类型
