列名,是否必须,占用空间,描述,存在条件
DB_ROW_ID,否,6字节,行ID，唯一标识一条记录,"如果用户没有定义主键，则选取一个Unique键作为主键，如果表中连Unique键都没有定义的话。
注意：unique 健 都是 not null的"
DB_TRX_ID,是,6字节,事务ID,
DB_ROLL_PTR,是,7字节,回滚指针,
