列名,占用空间,存在条件,描述,是否必须
DB_ROLL_PTR,7字节,,回滚指针,是
DB_ROW_ID,6字节,"如果用户没有定义主键，则选取一个Unique键作为主键，如果表中连Unique键都没有定义的话。
注意：unique 健 都是 not null的",行ID，唯一标识一条记录,否
DB_TRX_ID,6字节,,事务ID,是
