位数,Files,解释
2～4,,u所有者，r读，w写，x执行
1,,文件类：-文件，d目录，l软连接文件
5～7,,g所属着，r读，w写，x执行
8～10,,o其他人，r读，w写，x执行
12,,用户
13,,用户组
11,,文件：硬连接数；目录：子目录数
15,,最后修改日期
16,,文件名
14,,文件：大小；目录：4096
