位数,解释
1,文件类：-文件，d目录，l软连接文件
2～4,u所有者，r读，w写，x执行
5～7,g所属着，r读，w写，x执行
8～10,o其他人，r读，w写，x执行
11,文件：硬连接数；目录：子目录数
12,用户
13,用户组
14,文件：大小；目录：4096
15,最后修改日期
16,文件名
