Author,"作者,可多人协作"
Status,Deprecated(过期/废弃);Developing(撰写中)；Reviewed(已Review)；Active（方案实施/开发中）
Reviewer,Reviewer一般是项目的tech lead、对这个项目负有责任的同学，可多人；方案准备时需要明确Review负责人
